Position,Name,Score,Thru,Today,Make Cut,Top 20,Top 5,Win
1,FITZPATRICK MATTHEW,-15,-4,F,0,0,0,0
2,WESTWOOD LEE,-14,-4,F,0,0,0,0
T3,HOVLAND VIKTOR,-13,-3,F,0,0,0,0
T3,REED PATRICK,-13,-2,F,0,0,0,0
T5,CANTER LAURIE,-12,-1,F,0,0,0,0
T5,VALIMAKI SAMI,-12,-3,F,0,0,0,0
7,PEREZ VICTOR,-10,-4,F,0,0,0,0
T8,GRACE BRANDEN,-9,-3,F,0,0,0,0
T8,HATTON TYRRELL,-9,-2,F,0,0,0,0
T10,ARNAUS ADRI,-7,+3,F,0,0,0,0
T10,FLEETWOOD TOMMY,-7,-3,F,0,0,0,0
T10,MORIKAWA COLLIN,-7,-2,F,0,0,0,0
T10,SULLIVAN ANDY,-7,E,F,0,0,0,0
T14,BEZUIDENHOUT CHRISTIAAN,-6,-2,F,0,0,0,0
T14,BURMESTER DEAN,-6,-5,F,0,0,0,0
T14,CROCKER SEAN,-6,-3,F,0,0,0,0
T14,HIGGO GARRICK,-6,-3,F,0,0,0,0
T14,IM SUNGJAE,-6,-3,F,0,0,0,0
T14,KAWAMURA MASAHIRO,-6,-5,F,0,0,0,0
T14,KAYMER MARTIN,-6,E,F,0,0,0,0
T14,OTAEGUI ADRIAN,-6,-4,F,0,0,0,0
T14,VAN ROOYEN ERIK,-6,-1,F,0,0,0,0
T23,LEWIS TOM,-5,-6,F,0,0,0,0
T23,MACINTYRE ROBERT,-5,+5,F,0,0,0,0
T23,NIENABER WILCO,-5,-5,F,0,0,0,0
T23,NORRIS SHAUN,-5,-1,F,0,0,0,0
T23,SAMOOJA KALLE,-5,-2,F,0,0,0,0
T23,STONE BRANDON,-5,E,F,0,0,0,0
T29,COETZEE GEORGE,-4,-1,F,0,0,0,0
T29,DETRY THOMAS,-4,-4,F,0,0,0,0
T29,WALLACE MATT,-4,-1,F,0,0,0,0
T32,KINHULT MARCUS,-3,E,F,0,0,0,0
T32,ROCK ROBERT,-3,-5,F,0,0,0,0
T32,WARREN MARC,-3,+1,F,0,0,0,0
T32,WILLETT DANNY,-3,+5,F,0,0,0,0
T36,DONALDSON JAMIE,-2,E,F,0,0,0,0
T36,PIETERS THOMAS,-2,-2,F,0,0,0,0
T36,ROZNER ANTOINE,-2,-4,F,0,0,0,0
T36,SHINKWIN CALLUM,-2,+2,F,0,0,0,0
T36,STENSON HENRIK,-2,+1,F,0,0,0,0
T36,SYME CONNOR,-2,-4,F,0,0,0,0
T36,WIESBERGER BERND,-2,-2,F,0,0,0,0
T43,BESSELING WIL,-1,+1,F,0,0,0,0
T43,HANSEN JOACHIM B,-1,-2,F,0,0,0,0
T43,LUITEN JOOST,-1,E,F,0,0,0,0
T43,POULTER IAN,-1,+2,F,0,0,0,0
47,SMITH JORDAN,E,-1,F,0,0,0,0
T48,HARDING JUSTIN,+1,+3,F,0,0,0,0
T48,JAMIESON SCOTT,+1,-1,F,0,0,0,0
T48,LARRAZABAL PABLO,+1,E,F,0,0,0,0
T51,FISHER ROSS,+2,E,F,0,0,0,0
T51,HOJGAARD RASMUS,+2,-4,F,0,0,0,0
T51,RAI AARON,+2,-3,F,0,0,0,0
T54,CATLIN JOHN,+3,+1,F,0,0,0,0
T54,PAVON MATTHIEU,+3,E,F,0,0,0,0
T54,PEPPERELL EDDIE,+3,-1,F,0,0,0,0
T57,CAMPILLO JORGE,+4,+2,F,0,0,0,0
T57,GREEN GAVIN,+4,-2,F,0,0,0,0
T57,JANEWATTANANOND JAZZ,+4,+4,F,0,0,0,0
60,PARATORE RENATO,+5,+3,F,0,0,0,0
T61,ARMITAGE MARCUS,+6,-1,F,0,0,0,0
T61,HEBERT BENJAMIN,+6,E,F,0,0,0,0
63,HORSFIELD SAM,+8,E,F,0,0,0,0
64,FORREST GRANT,+11,+3,F,0,0,0,0
WD,MCDOWELL GRAEME,E,--,,0,0,0,0
