Position,Name,Score,Thru,Today,Make Cut,Top 20,Top 5,Win
1,HOVLAND VIKTOR,-20,-6,F,0,0,0,0
2,WISE AARON,-19,-8,F,0,0,0,0
T3,HOGE TOM,-17,-2,F,0,0,0,0
T3,LONG ADAM,-17,-4,F,0,0,0,0
T5,ENGLISH HARRIS,-16,-8,F,0,0,0,0
T5,GLOVER LUCAS,-16,-5,F,0,0,0,0
T5,HORSCHEL BILLY,-16,-7,F,0,0,0,0
T8,FINAU TONY,-15,-4,F,0,0,0,0
T8,GRILLO EMILIANO,-15,+1,F,0,0,0,0
T8,ORTIZ CARLOS,-15,-5,F,0,0,0,0
T8,TODD BRENDON,-15,-5,F,0,0,0,0
T12,ANCER ABRAHAM,-14,-5,F,0,0,0,0
T12,ECKROAT AUSTIN,-14,-6,F,0,0,0,0
T12,HOMA MAX,-14,-6,F,0,0,0,0
T12,MCNEALY MAVERICK,-14,-5,F,0,0,0,0
T12,THOMAS JUSTIN,-14,-2,F,0,0,0,0
T17,CONNERS COREY,-13,-5,F,0,0,0,0
T17,RODGERS PATRICK,-13,-1,F,0,0,0,0
T17,STRICKER STEVE,-13,-4,F,0,0,0,0
T20,DAHMEN JOEL,-12,-2,F,0,0,0,0
T20,HUH JOHN,-12,-6,F*,0,0,0,0
T20,VEGAS JHONATTAN,-12,-5,F,0,0,0,0
T23,WHALEY VINCENT,-11,-4,F,0,0,0,0
T23,BERGER DANIEL,-11,-4,F,0,0,0,0
T23,DUNCAN TYLER,-11,-3,F,0,0,0,0
T23,HOAG BO,-11,-2,F,0,0,0,0
T23,HOWELL III CHARLES,-11,-6,F*,0,0,0,0
T23,KNOX RUSSELL,-11,E,F,0,0,0,0
T23,NIEMANN JOAQUIN,-11,-1,F,0,0,0,0
T30,BAKER CHRIS,-10,-5,F*,0,0,0,0
T30,HARMAN BRIAN,-10,-2,F,0,0,0,0
T32,BRADLEY KEEGAN,-9,-5,F*,0,0,0,0
T32,GARNETT BRICE,-9,-1,F,0,0,0,0
T32,STREELMAN KEVIN,-9,-7,F*,0,0,0,0
T32,VILLEGAS CAMILO,-9,-1,F,0,0,0,0
T32,KIZZIRE PATTON,-9,-7,F*,0,0,0,0
